יצרן,קטגוריה,מחלקה,מכר 2024 (מ׳ ₪),סיווג_טיוטה,ביטחון,החלטה_שלך
היכל היין שקד גולן,יין אדום,יינות שולחניים,69.95,לא הוכרע,REVIEW,
יוניליוור ישראל,דאודורנט נשים,היגיינה וטיפוח הגוף,69.74,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",וופלים,מאפים מתוקים ומלוחים,69.25,לא הוכרע,REVIEW,
יוניליוור ישראל,חטיפים אפויים,מאפים מתוקים ומלוחים,68.87,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",דבש,רטבים וממרחים,68.6,לא הוכרע,REVIEW,
ויסוצקי תה,חליטות פירות וצמחים,תה,66.86,לא הוכרע,REVIEW,
ארומה אספרסו בר,עוגיות בייסיק,מאפים מתוקים ומלוחים,65.6,לא הוכרע,REVIEW,
יוניליוור ישראל,גלידות חבילות בית,גלידות ושלגונים,64.75,לא הוכרע,REVIEW,
אסם-נסטלה,פתיתים,אורז קטניות פסטה תבשילים ותערובות,63.43,לא הוכרע,REVIEW,
ד.ר שיווק בעמ,ירקות קפואים,ירקות ופירות קפואים,61.54,ייצור מקומי,REVIEW,
אסם-נסטלה,גלידות חבילות בית,גלידות ושלגונים,60.95,לא הוכרע,REVIEW,
"שטראוס גרופ בע""מ",מסטיקים ללא סוכר,מסטיקים,58.9,לא הוכרע,REVIEW,
החברה המרכזית למשקאות קלים,משקאות וויסקי,משקאות חריפים,58.86,לא הוכרע,REVIEW,
ג. עופר ייצור ושיווק בשר בעמ,דגים קפואים בואקום,דגים קפואים,56.83,יבוא,REVIEW,
החברה המרכזית למשקאות קלים,מים מועשרים,משקאות לא אלכוהולים,54.4,לא הוכרע,REVIEW,
בלדי,מוצרי בשר על האש,בשר ועוף קפוא,54.06,לא הוכרע,REVIEW,
שטראוס קפה,שוקו,קפה/קקאו,52.63,לא הוכרע,REVIEW,
ג. וילי פוד,גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,51.58,ייצור מקומי,REVIEW,
החברה המרכזית למשקאות קלים,בירה לבנה בודד,בירה לבנה,50.51,לא הוכרע,REVIEW,
ארומה אספרסו בר,חומרים לכביסה,תכשירי כביסה,50.02,לא הוכרע,REVIEW,
פרפיום,חומרים לכביסה,תכשירי כביסה,48.22,לא הוכרע,REVIEW,
קמח מלכים,קמח,עזרי אפייה ובישול,44.07,לא הוכרע,REVIEW,
תבליני טעם וריח,תבלינים במיכל,תבלינים,43.16,לא הוכרע,REVIEW,
פאן אינטר,שימורי ירקות,שימורים,42.97,ייצור מקומי,REVIEW,
החברה המרכזית למשקאות קלים,מיץ טבעי סחוט מקורר,משקאות לא אלכוהולים,42.41,לא הוכרע,REVIEW,
"שטראוס גרופ בע""מ",מוצרי בצק טרי,מזון מקורר ארוז,42.12,לא הוכרע,REVIEW,
מרבה,חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,41.38,לא הוכרע,REVIEW,
יוניליוור ישראל,חטיפי דגנים לילדים,חטיפי דגנים וחלבון,41.07,לא הוכרע,REVIEW,
"ח.כהן הפצה יבוא ושיווק  לוגיסיטיקה בע""מ",כלים חד פעמים,אביזרים לארוח,40.43,לא הוכרע,REVIEW,
רוכהמן,וופלים,מאפים מתוקים ומלוחים,40.34,לא הוכרע,REVIEW,
"ב.ה. דבליו יבוא ושיווק בע""מ",כלים חד פעמים,אביזרים לארוח,40.28,לא הוכרע,REVIEW,
אסם-נסטלה,חומץ/מיץ לימון,רטבים וממרחים,40.28,לא הוכרע,REVIEW,
"נטו סחר בע""מ",גבינות שמנת,מוצרי חלב ותחליפיו,39.66,ייצור מקומי,REVIEW,
קבוצת אסם סחר,דגנים,דגנים ודגנים מיוחדים,39.63,לא הוכרע,REVIEW,
בלדי,בשר בקר קפוא,בשר ועוף קפוא,39.4,לא הוכרע,REVIEW,
קבוצת אסם סחר,עוגיות בייסיק,מאפים מתוקים ומלוחים,38.48,לא הוכרע,REVIEW,
יוניליוור ישראל,חטיפים,חטיפים מלוחים,36.28,לא הוכרע,REVIEW,
שימורי יבנה,שימורי זיתים ירוקים/מיקס,שימורים,36.19,יבוא,REVIEW,
אסם-נסטלה,עוגיות פרימיום,מאפים מתוקים ומלוחים,36.07,לא הוכרע,REVIEW,
סיימן,גבינות מיוחדות במשקל,מעדניה חלבית,36.04,ייצור מקומי,REVIEW,
קמח שטיבל טח,קמח,עזרי אפייה ובישול,36.02,לא הוכרע,REVIEW,
גורי בעמ,מחיות לתינוק,מזון תינוקות/ילדים,35.72,לא הוכרע,REVIEW,
לורד סנדביץ בעמ,כריכים,מזנונים,35.54,לא הוכרע,REVIEW,
א.ל ייצור ושיווק תבלינים בעמ,תבלינים במיכל,תבלינים,35.13,לא הוכרע,REVIEW,
יהודה מצות,מצות,לחם ותחליפיו,34.71,לא הוכרע,REVIEW,
מאיר ובייגל,בייגלה,חטיפים מלוחים,33.38,לא הוכרע,REVIEW,
יוניליוור ישראל,בייגלה,חטיפים מלוחים,33.05,לא הוכרע,REVIEW,
"מיה תעשיות מזון בע""מ",חטיפים,חטיפים מלוחים,32.36,לא הוכרע,REVIEW,
סיימן,גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,32.22,ייצור מקומי,REVIEW,
טחנת קמח דגן,קמח,עזרי אפייה ובישול,31.82,לא הוכרע,REVIEW,
יוניליוור ישראל,מרכך שיער,טיפוח השיער,31.78,לא הוכרע,REVIEW,
ג. וילי פוד,גבינות צהובות מדף,מוצרי חלב ותחליפיו,31.44,ייצור מקומי,REVIEW,
שמן זית סבא חביב בעמ,שמן זית,שמנים,31.39,לא הוכרע,REVIEW,
החברה המרכזית למשקאות קלים,סודה,משקאות לא אלכוהולים,31.27,לא הוכרע,REVIEW,
החברה המרכזית למשקאות קלים,בירה לבנה בקבוק חוזר,בירה לבנה,29.92,לא הוכרע,REVIEW,
יוגטה,סוכריות גומי,סוכריות,29.47,לא הוכרע,REVIEW,
פוסט פודס,דגנים,דגנים ודגנים מיוחדים,28.75,לא הוכרע,REVIEW,
קוואקר אואטס,דגנים מיוחדים,דגנים ודגנים מיוחדים,27.37,לא הוכרע,REVIEW,
ארבקס,הגיינה נשית,היגיינה וטיפוח הגוף,27.26,לא הוכרע,REVIEW,
"דוידוביץ' ובניו שיווק ומכירות בע""מ",לחם ארוז מיוחד,לחם ותחליפיו,25.12,ייצור מקומי,REVIEW,
ג'נרל מילס,פיתות ארוזות,לחם ותחליפיו,24.95,ייצור מקומי,REVIEW,
בטר אנד דיפרנט,ממרחים מתוקים,רטבים וממרחים,24.48,לא הוכרע,REVIEW,
אסם-נסטלה,אטריות,אורז קטניות פסטה תבשילים ותערובות,23.99,לא הוכרע,REVIEW,
אסם-נסטלה,קוסקוס,אורז קטניות פסטה תבשילים ותערובות,23.69,לא הוכרע,REVIEW,
חסלט,חסה,עלים ותבלינים טריים,23.49,ייצור מקומי,REVIEW,
שווארטאור,חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,23.33,לא הוכרע,REVIEW,
"שטראוס גרופ בע""מ",ממרחים מצוננים,סלטים ארוזים,23.21,לא הוכרע,REVIEW,
"נטו סחר בע""מ",מיכלי שמנת מתוקה,מוצרי חלב ותחליפיו,22.03,ייצור מקומי,REVIEW,
"שטראוס גרופ בע""מ",עוגיות בייסיק,מאפים מתוקים ומלוחים,21.74,לא הוכרע,REVIEW,
קיראי סחר והשקעות בעמ,עוגיות בייסיק,מאפים מתוקים ומלוחים,21.62,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",שוקו,קפה/קקאו,21.45,לא הוכרע,REVIEW,
זייטה שמנים טבעיים,שמן זית,שמנים,21.35,לא הוכרע,REVIEW,
סניידרס,בייגלה,חטיפים מלוחים,21.27,לא הוכרע,REVIEW,
"מ.א. בע""מ",מיונז,רטבים וממרחים,21.2,לא הוכרע,REVIEW,
"שטראוס גרופ בע""מ",מרגרינה,מוצרי חלב ותחליפיו,20.66,לא הוכרע,REVIEW,
מצות ראשלצ,מצות,לחם ותחליפיו,20.65,לא הוכרע,REVIEW,
תבליני טעם וריח,תבלינים בשקית,תבלינים,20.58,לא הוכרע,REVIEW,
"דין שיווק וקליה בע""מ",תחליפי לחם,לחם ותחליפיו,20.54,ייצור מקומי,REVIEW,
"רם בס""ד בע""מ",כלים חד פעמים,אביזרים לארוח,19.85,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",ריבות/קונפיטורות,רטבים וממרחים,19.75,לא הוכרע,REVIEW,
"אדום יבוא מזון בע""מ",שמנים רגילים,שמנים,19.68,לא הוכרע,REVIEW,
הנמל,קוסקוס,אורז קטניות פסטה תבשילים ותערובות,19.2,לא הוכרע,REVIEW,
הדר השרון שיווק והפצה בעמ,חטיפים אפויים,מאפים מתוקים ומלוחים,19.18,לא הוכרע,REVIEW,
סוגת,שימורי טונה,שימורים,19.12,יבוא,REVIEW,
"קבוצת שטראוס בע""מ",חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,18.94,לא הוכרע,REVIEW,
פאן אינטר,גבינות מיוחדות מדף,מוצרי חלב ותחליפיו,18.91,ייצור מקומי,REVIEW,
קבוצת אסם סחר,קציצות מן הצומח,מזון מוכן קפוא מן הצומח,18.48,לא הוכרע,REVIEW,
יוניליוור ישראל,סבון רחצה לגבר,סבוני רחצה,18.37,לא הוכרע,REVIEW,
לוריאל ישראל,שמפו,טיפוח השיער,18.22,לא הוכרע,REVIEW,
תומר בעמ,פסטה,אורז קטניות פסטה תבשילים ותערובות,17.45,לא הוכרע,REVIEW,
גורי בעמ,סוכריות גומי,סוכריות,17.41,לא הוכרע,REVIEW,
פאן אינטר,גבינות מיוחדות במשקל,מעדניה חלבית,17.13,ייצור מקומי,REVIEW,
קונדיטוריה פנורמה,עוגיות בייסיק,מאפים מתוקים ומלוחים,16.96,לא הוכרע,REVIEW,
הדר השרון שיווק והפצה בעמ,וופלים,מאפים מתוקים ומלוחים,16.71,לא הוכרע,REVIEW,
הכרם,בירה לבנה בודד,בירה לבנה,16.63,לא הוכרע,REVIEW,
קבוצת אסם סחר,דייסות,מזון תינוקות/ילדים,16.17,לא הוכרע,REVIEW,
גורי בעמ,שמן זית,שמנים,16.08,לא הוכרע,REVIEW,
אסם-נסטלה,חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,15.89,לא הוכרע,REVIEW,
טחינת ברכה,טחינה גולמית,רטבים וממרחים,15.87,לא הוכרע,REVIEW,
שסטוביץ,משקאות תחליפי חלב עמיד,מוצרי חלב ותחליפיו,15.78,ייצור מקומי,REVIEW,
עינת תעשיות מזון,כריכים,מזנונים,15.77,לא הוכרע,REVIEW,
א.ג.ת.ד בעמ,משקאות וויסקי,משקאות חריפים,15.77,לא הוכרע,REVIEW,
הכרם,יין אדום,יינות שולחניים,15.72,לא הוכרע,REVIEW,
כרמית,סוכריות מרשמלו,סוכריות,15.43,לא הוכרע,REVIEW,
ג. וילי פוד,גבינות מיוחדות במשקל,מעדניה חלבית,15.12,ייצור מקומי,REVIEW,
מדג סי פרוט,פירות ים קפואים,דגים קפואים,15.08,לא הוכרע,REVIEW,
BDF,דאודורנט לגברים,היגיינה וטיפוח הגוף,14.94,לא הוכרע,REVIEW,
אס סיי ג'ונסון,ניקוי אסלות,ניקוי הבית,14.89,לא הוכרע,REVIEW,
קדם ייבוא מוצרים (תירוש,יינות תירוש,יינות שולחניים,14.87,לא הוכרע,REVIEW,
סידס רק הטוב ביותר,סוכריות גומי,סוכריות,14.83,לא הוכרע,REVIEW,
ארבקס,תכשירי ניקוי רצפות,ניקוי הבית,14.72,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",עוגיות פרימיום,מאפים מתוקים ומלוחים,14.71,לא הוכרע,REVIEW,
ג'ונסון וג'ונסון,תכשירי טיפוח וניקוי תינוקות,אביזרים ומוצרי תינוקות,14.64,לא הוכרע,REVIEW,
שמן זית אלי-עד בעמ,שמן זית,שמנים,14.61,לא הוכרע,REVIEW,
פרג תבלינים,תבלינים במיכל,תבלינים,14.57,לא הוכרע,REVIEW,
יוניליוור ישראל,סבון מוצק,סבוני רחצה,14.53,לא הוכרע,REVIEW,
הלל תעשיות ומסחר,עוגיות פרימיום,מאפים מתוקים ומלוחים,14.51,לא הוכרע,REVIEW,
א.מ שרון,פירות קפואים,ירקות ופירות קפואים,14.49,לא הוכרע,REVIEW,
קבוצת אסם סחר,עוגיות פרימיום,מאפים מתוקים ומלוחים,14.38,לא הוכרע,REVIEW,
הרמס,דג מעושן כבוש ארוז,מזון מקורר ארוז,14.25,לא הוכרע,REVIEW,
"נטו סחר בע""מ",חלקי פנים עוף/הודו טרי ארוז,עוף/הודו טרי ארוז,14.03,ייצור מקומי,REVIEW,
יפאורה תבורי,תה קר,משקאות לא אלכוהולים,13.96,יבוא,REVIEW,
"רובינפלד בע""מ",קמח,עזרי אפייה ובישול,13.9,לא הוכרע,REVIEW,
הלל תעשיות ומסחר,עוגיות בייסיק,מאפים מתוקים ומלוחים,13.85,לא הוכרע,REVIEW,
"נטו סחר בע""מ",נתחים אחורי טרי,קצביה בשרית טרי,13.66,ייצור מקומי,REVIEW,
אסם-נסטלה,עוגיות בייסיק,מאפים מתוקים ומלוחים,13.59,לא הוכרע,REVIEW,
פפושאדו אחים,עוגיות בייסיק,מאפים מתוקים ומלוחים,13.54,לא הוכרע,REVIEW,
"נטו סחר בע""מ",הודו טרי ארוז,עוף/הודו טרי ארוז,13.43,ייצור מקומי,REVIEW,
טיבעית,חטיפי דגנים ופירות למבוגרים,חטיפי דגנים וחלבון,13.39,לא הוכרע,REVIEW,
פומפדור,חליטות פירות וצמחים,תה,13.14,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",ממרחים מתוקים,רטבים וממרחים,13.12,לא הוכרע,REVIEW,
ש.רוזנרס,דג גלם בשקית,דגים קפואים,13.02,לא הוכרע,REVIEW,
גורי בעמ,סוכריות גלי,סוכריות,12.94,לא הוכרע,REVIEW,
אחדות למהדרין,עוף קפוא,בשר ועוף קפוא,12.77,לא הוכרע,REVIEW,
פופ סטאר,פופ קורן למיקרו,חטיפים מלוחים,12.67,לא הוכרע,REVIEW,
"דוידוביץ' ובניו שיווק ומכירות בע""מ",לחם מפוקח ארוז,לחם ותחליפיו,12.63,ייצור מקומי,REVIEW,
לוריאל ישראל,קרם פנים,טיפוח פנים,12.57,לא הוכרע,REVIEW,
כרמית,עוגיות בייסיק,מאפים מתוקים ומלוחים,12.44,לא הוכרע,REVIEW,
קלוגס,דגנים,דגנים ודגנים מיוחדים,12.42,לא הוכרע,REVIEW,
יוניליוור ישראל,ניקוי כללי,ניקוי הבית,12.19,לא הוכרע,REVIEW,
"קבוצת שטראוס בע""מ",סילאן,רטבים וממרחים,12.16,לא הוכרע,REVIEW,
ארבקס,ניקוי כללי,ניקוי הבית,11.99,לא הוכרע,REVIEW,
סנו,מגבונים לחים,אביזרים ומוצרי תינוקות,11.99,יבוא,REVIEW,
ע.רן שיווק כי טוב בעמ,קטניות,אורז קטניות פסטה תבשילים ותערובות,11.96,לא הוכרע,REVIEW,
שוקחה,שמנים רגילים,שמנים,11.91,לא הוכרע,REVIEW,
רסטרטו יבוא ושיווק בעמ,פסטה,אורז קטניות פסטה תבשילים ותערובות,11.82,לא הוכרע,REVIEW,
רוכהמן,עוגיות בייסיק,מאפים מתוקים ומלוחים,11.74,לא הוכרע,REVIEW,
ארומה אספרסו בר,פסטה,אורז קטניות פסטה תבשילים ותערובות,11.73,לא הוכרע,REVIEW,
מרבה,חטיפי דגנים לילדים,חטיפי דגנים וחלבון,11.67,לא הוכרע,REVIEW,
סלטי שמיר 2006,סלטי דגים,סלטים ארוזים,11.42,יבוא,REVIEW,
טחנות ישראליות,קמח,עזרי אפייה ובישול,11.36,לא הוכרע,REVIEW,
שיק,סכיני גילוח חד פעמי,מוצרי גילוח,11.14,לא הוכרע,REVIEW,
בלזן,עוגיות פרימיום,מאפים מתוקים ומלוחים,11.01,לא הוכרע,REVIEW,
לוריאל ישראל,מרכך שיער,טיפוח השיער,10.99,לא הוכרע,REVIEW,
גרין לייט פוד בעמ,לחמניות ארוזות,לחם ותחליפיו,10.98,לא הוכרע,REVIEW,
ארומה אספרסו בר,טחינה גולמית,רטבים וממרחים,10.86,לא הוכרע,REVIEW,
